Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.566134,-1.87208,3590.12,-0.00190853,945.892,0.961009,0.430076,0.106333,942.452,0.0893691,0.957326,0,30.7523,26.6267,712,-0.00679261,0.923554,-0.852867,466.076
0.569448,-1.87617,3605.81,0.011554,948.685,0.96243,0.433185,0.103697,945.685,0.0852912,0.959201,0,30.7978,26.7963,712,-0.0030188,0.926441,-0.858207,472.435
0.572798,-1.88053,3622.53,0.00210541,951.716,0.963975,0.411169,0.095544,948.499,0.080505,0.960717,0,30.8472,26.7889,711,0.0075134,0.929137,-0.86321,478.88
0.57622,-1.88475,3638.77,0.000823437,954.535,0.965407,0.407103,0.0905533,950.64,0.0775875,0.961595,0,30.893,26.928,708,-0.0128021,0.931951,-0.868446,485.477
0.579698,-1.88797,3651.12,0.0160759,956.69,0.966501,0.386994,0.0847286,953.882,0.0711958,0.963567,0,30.928,26.9264,708,0.00707495,0.934077,-0.872413,492.197
0.583259,-1.89215,3667.26,-0.00496276,959.327,0.967838,0.371149,0.079746,956.462,0.0679131,0.964927,0,30.9708,27.1353,705,-0.00323963,0.936635,-0.877197,499.089
0.586911,-1.89531,3679.49,0.00506153,961.487,0.968929,0.370578,0.0778823,958.41,0.0660334,0.965693,0,31.0057,27.0214,701,0.00576846,0.938871,-0.881391,506.172
0.590623,-1.89875,3692.8,-0.015363,963.672,0.970033,0.357992,0.0738393,961.526,0.0612388,0.967669,0,31.0411,27.0052,699,0.00224154,0.94111,-0.885601,513.384
0.59441,-1.90344,3711.03,0.0149494,966.868,0.971645,0.34838,0.0688262,963.536,0.0582419,0.968401,0,31.0926,27.3733,696,0.00188087,0.94409,-0.891217,520.754
0.598273,-1.90657,3723.16,-0.00153514,968.763,0.9726,0.331895,0.0655305,966.058,0.0557923,0.969851,0,31.1232,27.5691,695,0.0123467,0.945952,-0.894737,528.291
0.602235,-1.91026,3737.56,-0.00208271,971.127,0.97379,0.323243,0.0612927,967.574,0.0546588,0.970309,0,31.1613,27.6988,689,0.0100068,0.948097,-0.898799,536.033
0.606286,-1.91244,3746.09,-0.00637091,972.581,0.97452,0.319946,0.059948,970.582,0.050406,0.972248,0,31.1846,27.8575,685,0.0240134,0.949716,-0.901871,543.966
0.610409,-1.91625,3761,0.00490215,974.972,0.975719,0.315029,0.0581064,972.677,0.0475749,0.973299,0,31.223,27.9966,682,0.00513533,0.952087,-0.906379,552.047
0.614599,-1.91987,3775.15,0.0136362,977.195,0.976835,0.294311,0.0530233,974.748,0.0454702,0.974371,0,31.2587,28.1374,679,0.00697077,0.954399,-0.910786,560.276
0.618907,-1.92287,3786.92,0.0209306,979.249,0.977864,0.289357,0.050236,976.76,0.0428166,0.975421,0,31.2917,28.4023,676,-0.00893121,0.956311,-0.91444,568.752
0.623311,-1.92597,3799.12,0.0119559,981.136,0.978808,0.279247,0.0473862,979.135,0.0403014,0.976797,0,31.3219,28.5449,674,0.0172575,0.95805,-0.917769,577.431
0.627819,-1.92878,3810.16,0.00700118,982.846,0.979663,0.270771,0.045282,980.65,0.0374331,0.977405,0,31.3492,28.5715,673,-0.00813118,0.959709,-0.92095,586.329
0.632431,-1.9325,3824.82,-0.00190666,985.217,0.980847,0.261246,0.0421966,982.768,0.0361866,0.978608,0,31.3871,28.4505,672,-0.00936911,0.96205,-0.925448,595.447
0.637157,-1.93449,3832.71,0.0153889,986.378,0.981426,0.256585,0.0410896,984.564,0.033287,0.979515,0,31.4056,28.6006,672,0.0135516,0.963251,-0.92776,604.805
0.641979,-1.93773,3845.51,-0.0217209,988.328,0.982397,0.248916,0.0388919,986.425,0.0317398,0.980517,0,31.4367,28.7062,671,-0.0063026,0.965148,-0.931417,614.365
0.646907,-1.9402,3855.29,0.00124563,989.927,0.983195,0.235581,0.0359051,988.081,0.0304489,0.981324,0,31.4622,29.01,668,0.00687196,0.966645,-0.93431,624.15
0.651975,-1.94292,3866.09,0.0246877,991.475,0.983963,0.234814,0.0353905,989.488,0.0288703,0.981933,0,31.4868,28.9946,666,0.00116933,0.968082,-0.93709,634.226
0.65714,-1.94562,3876.81,-0.00088352,993.149,0.984796,0.224179,0.0326517,991.315,0.0274514,0.982982,0,31.5135,29.0287,665,-0.00369593,0.969942,-0.940693,644.51
0.662436,-1.94809,3886.63,-0.0140069,994.665,0.985549,0.210129,0.0301642,992.949,0.0252968,0.983849,0,31.5376,29.03,664,0.0035712,0.97126,-0.943252,655.068
0.667904,-1.95048,3896.13,-0.013372,996.091,0.986257,0.204159,0.0284942,994.359,0.0239798,0.984522,0,31.5602,29.0725,663,-0.00737444,0.972737,-0.946124,665.985
0.673527,-1.9532,3906.98,-0.003393,997.73,0.98707,0.195898,0.0265094,995.799,0.0228959,0.985224,0,31.5862,29.1412,662,-0.00305805,0.974344,-0.949252,677.221
0.67931,-1.9555,3916.17,0.00421995,999.029,0.987714,0.184065,0.0247953,997.921,0.020313,0.986631,0,31.6068,29.3327,658,0.00490079,0.975632,-0.951764,688.796
